Fund_Name,NAV,Date
SBI Small Cap Fund - Direct Plan - Growth,32.787,08-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.6458,07-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.4971,06-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.4891,05-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.0303,01-10-2015
SBI Small Cap Fund - Direct Plan - Growth,31.9449,30-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.5525,29-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.6127,28-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.6004,24-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.6956,23-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.6014,22-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.8795,21-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.7435,18-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.4122,16-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.5174,15-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.638,14-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.3747,11-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.2459,10-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.1685,09-09-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8088,08-09-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8824,07-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.2791,04-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.5572,03-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.3571,02-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.4028,01-09-2015
SBI Small Cap Fund - Direct Plan - Growth,31.9757,31-08-2015
SBI Small Cap Fund - Direct Plan - Growth,32.0768,28-08-2015
SBI Small Cap Fund - Direct Plan - Growth,32.1993,27-08-2015
SBI Small Cap Fund - Direct Plan - Growth,31.2456,26-08-2015
SBI Small Cap Fund - Direct Plan - Growth,31.1813,25-08-2015
SBI Small Cap Fund - Direct Plan - Growth,31.2426,24-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1377,21-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2221,20-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.8543,19-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.6383,18-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.3263,17-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1547,14-08-2015
SBI Small Cap Fund - Direct Plan - Growth,32.6931,13-08-2015
SBI Small Cap Fund - Direct Plan - Growth,32.7984,12-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.3291,11-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.7575,10-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.7308,07-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.7245,06-08-2015
SBI Small Cap Fund - Direct Plan - Growth,34.118,05-08-2015
SBI Small Cap Fund - Direct Plan - Growth,34.1317,04-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.884,03-08-2015
SBI Small Cap Fund - Direct Plan - Growth,33.6861,31-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2022,30-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1365,29-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.0327,28-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1625,27-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1976,24-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.5174,23-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1968,22-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.0264,21-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.5203,20-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.3724,17-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.357,16-07-2015
SBI Small Cap Fund - Direct Plan - Growth,33.0081,15-07-2015
SBI Small Cap Fund - Direct Plan - Growth,32.7785,14-07-2015
SBI Small Cap Fund - Direct Plan - Growth,32.901,13-07-2015
SBI Small Cap Fund - Direct Plan - Growth,32.8467,10-07-2015
SBI Small Cap Fund - Direct Plan - Growth,32.7345,09-07-2015
SBI Small Cap Fund - Direct Plan - Growth,32.7031,08-07-2015
SBI Small Cap Fund - Direct Plan - Growth,32.8775,07-07-2015
SBI Small Cap Fund - Direct Plan - Growth,32.4565,06-07-2015
SBI Small Cap Fund - Direct Plan - Growth,31.7734,03-07-2015
SBI Small Cap Fund - Direct Plan - Growth,31.5581,02-07-2015
SBI Small Cap Fund - Direct Plan - Growth,31.4503,01-07-2015
SBI Small Cap Fund - Direct Plan - Growth,31.1456,30-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6479,29-06-2015
